City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lebu,-37.6167,-73.65,286.99,79,0,7.7,CL,1706492206
83,portland,45.5234,-122.6762,289.98,89,100,3.58,US,1706491877
84,al wakrah,24.85,51.3333,288.2,61,100,3.82,QA,1706492207
85,puerto ayora,-0.7393,-90.3518,298.85,86,82,3.4,EC,1706492208
86,kindia,10.0569,-12.8658,292.64,62,16,1.41,GN,1706492210
87,tazovsky,67.4667,78.7,254.69,97,100,4.48,RU,1706492211
88,recreo,-29.2818,-65.061,301.15,28,61,6.83,AR,1706492212
89,saldanha,-33.0117,17.9442,291.18,90,100,3.4,ZA,1706492213
90,hamilton,39.1834,-84.5333,277.65,92,100,5.66,US,1706491996
91,santo antonio,-6.3106,-35.4789,298.5,83,73,2.39,BR,1706492214
92,christchurch,-43.5333,172.6333,296.78,60,13,7.72,NZ,1706492120
93,ouddorp,51.8117,3.9347,280.14,83,79,6.56,NL,1706492216
94,sao martinho,39.5144,-9.1311,288.64,83,100,2.68,PT,1706492217
95,bacacay,13.2934,123.7919,298.12,78,96,7.65,PH,1706492218
96,nikolayevsk-on-amure,53.1406,140.73,259.97,81,91,0.85,RU,1706492219
97,port alfred,-33.5906,26.891,293.25,91,36,3.1,ZA,1706492220
98,la passe,45.5549,-0.8967,283.28,90,100,6.32,FR,1706492221
99,benguela,-12.5763,13.4055,299.19,82,46,1.52,AO,1706492222
100,atafu village,-8.5421,-172.5159,302.66,71,57,2.96,TK,1706492223
101,ciudad insurgentes,25.2625,-111.7753,291.98,49,99,3.89,MX,1706492224
102,luderitz,-26.6481,15.1594,289.89,89,86,0.96,NA,1706492225
103,fada,9.5667,8.3,291.57,27,2,2.96,NG,1706492328
104,el charco,2.4769,-78.1105,298.4,94,99,0.7,CO,1706492329
105,kanina khas,28.3333,76.3167,283.12,67,0,2.02,IN,1706492330
106,as sulayyil,20.4607,45.5779,289.29,55,35,4.18,SA,1706492331
107,an nuhud,12.7,28.4333,288.18,27,49,6.49,SD,1706492332
108,az zubayr,30.3945,47.7011,282.07,71,0,2.06,IQ,1706492333
109,touros,-5.1989,-35.4608,300.42,76,55,5.04,BR,1706492145
110,wakkanai,45.4094,141.6739,273.2,90,75,2.06,JP,1706492335
111,talnakh,69.4865,88.3972,260.49,93,100,5.52,RU,1706492336
112,pangody,65.85,74.4859,254.68,98,100,3.98,RU,1706492293
113,tiksi,71.6872,128.8694,249.39,96,100,4.49,RU,1706492337
114,las heras,-46.5419,-68.9359,293.42,20,4,6.53,AR,1706492338
115,nova sintra,14.8667,-24.7167,294.88,65,3,4.48,CV,1706492339
116,grytviken,-54.2811,-36.5092,278.01,87,22,5.42,GS,1706492015
117,uacu cungo,-11.3634,15.1208,290.25,99,82,0.51,AO,1706492341
118,myskhako,44.6714,37.7433,276.81,86,96,4.71,RU,1706492342
119,georgetown,5.4112,100.3354,301.11,70,20,3.6,MY,1706491916
120,philadelphia,39.9523,-75.1638,277.62,92,100,6.69,US,1706492047
121,sawakin,19.1059,37.3321,294.56,65,100,4.15,SD,1706492345
122,kodiak,57.79,-152.4072,264.88,62,20,7.2,US,1706492322
123,kingston,17.997,-76.7936,299.68,81,75,2.57,JM,1706492346
124,boende,-0.2167,20.8667,298.16,67,100,1.02,CD,1706492347
125,harrisonville,38.6533,-94.3488,279.4,81,0,0.0,US,1706492348
126,west island,-12.1568,96.8225,301.14,65,10,4.12,CC,1706492349
127,papatowai,-46.5619,169.4708,291.5,65,25,2.73,NZ,1706492040
128,prado,-17.3411,-39.2208,297.03,91,99,3.61,BR,1706492351
129,shitanjing,39.2342,106.3439,267.72,24,0,2.2,CN,1706492352
130,weno,7.4515,151.8468,303.12,66,40,4.12,FM,1706492353
131,nagqu,31.5,92.0,260.0,45,100,0.69,CN,1706492354
132,nadym,65.5333,72.5167,256.26,97,99,4.43,RU,1706492354
133,arraial do cabo,-22.9661,-42.0278,296.85,91,98,2.83,BR,1706492355
134,thinadhoo,0.5333,72.9333,300.62,71,94,5.72,MV,1706492356
