City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,new norfolk,-42.7826,147.0587,292.57,67,98,3.5,AU,1706492357
136,chengdu,30.6667,104.0667,278.09,87,75,1.0,CN,1706492194
137,vasyurinskaya,45.1181,39.424,274.18,89,99,4.48,RU,1706492359
138,atoka,34.4001,-96.0169,282.98,67,0,0.72,US,1706492360
139,cabo san lucas,22.8909,-109.9124,299.32,67,0,2.06,MX,1706492284
140,katsuren-haebaru,26.3369,127.8719,292.58,49,0,4.63,JP,1706492361
141,remire-montjoly,4.9167,-52.2667,298.17,94,75,1.54,GF,1706492362
142,chibougamau,49.9168,-74.3659,263.94,79,100,3.09,CA,1706492364
143,zavetnoye,47.1194,43.8903,268.97,92,100,4.58,RU,1706492365
144,iskateley,67.6803,53.1512,265.35,94,93,5.74,RU,1706492365
145,karratha,-20.7377,116.8463,303.38,53,6,6.0,AU,1706492366
146,badger,64.8,-147.5333,246.88,67,100,0.0,US,1706492367
147,ust-nera,64.5667,143.2,235.03,100,84,2.84,RU,1706492365
148,abasolo,20.45,-101.5167,289.58,32,100,2.32,MX,1706492369
149,coahuayana de hidalgo,18.7,-103.6583,296.52,85,100,1.03,MX,1706492370
150,bay roberts,47.5999,-53.2648,272.62,80,79,2.24,CA,1706492371
151,kenai,60.5544,-151.2583,257.67,70,100,3.09,US,1706492135
152,mahibadhoo,3.7833,72.9667,300.93,71,43,6.49,MV,1706492373
153,cockburn town,21.4612,-71.1419,300.13,61,40,4.63,TC,1706492374
154,akjoujt,19.6969,-14.4164,291.52,13,1,4.38,MR,1706492375
155,port elizabeth,-33.918,25.5701,293.32,79,0,2.57,ZA,1706492376
156,udachny,66.4167,112.4,244.92,77,97,1.92,RU,1706492377
157,nema,57.5067,50.5011,261.47,98,99,1.89,RU,1706492378
158,alpatovo,43.7028,45.2415,274.9,93,100,2.16,RU,1706492378
159,colonia,50.9333,6.95,282.27,58,0,4.63,DE,1706492263
